,Peak 1,Peak 2,Peak 3,Peak 4
Blue,38.497,4.034,0.000,0.000
Green,6.716,27.338,0.000,0.000
Purple,47.371,61.639,97.866,8.196
Orange,7.416,6.989,2.134,91.804
