,Peak 1,Peak 2,Peak 3,Peak 4
Blue,66.107,2.853,0.000,0.000
Green,3.636,51.523,0.000,0.000
Purple,26.217,42.001,99.425,6.234
Orange,4.040,3.623,0.575,93.766
