,Peak 1,Peak 2,Peak 3,Peak 4
Blue,49.782,0.684,0.000,0.000
Green,1.822,32.608,0.000,0.000
Purple,41.763,59.755,98.465,7.867
Orange,6.634,6.953,1.535,92.133
