,Peak 1,Peak 2,Peak 3,Peak 4
Blue,55.256,18.047,0.000,0.000
Green,3.576,20.529,0.000,0.000
Purple,35.574,55.633,99.447,3.588
Orange,5.593,5.791,0.553,96.412
