,Peak 1,Peak 2,Peak 3,Peak 4
Blue,58.682,7.523,0.000,0.000
Green,8.236,45.520,0.000,0.000
Purple,28.726,43.138,99.203,6.501
Orange,4.356,3.818,0.797,93.499
