,Peak 1,Peak 2,Peak 3,Peak 4
Blue,19.862,7.838,0.000,0.000
Green,4.411,7.594,0.000,0.000
Purple,59.521,68.244,92.334,8.623
Orange,16.206,16.324,7.666,91.377
