,Peak 1,Peak 2,Peak 3,Peak 4
Blue,60.208,8.836,0.000,0.000
Green,1.360,29.980,0.000,0.000
Purple,33.146,55.561,99.557,3.082
Orange,5.287,5.623,0.443,96.918
