,Peak 1,Peak 2,Peak 3,Peak 4
Blue,0.000,0.000,0.000,0.000
Green,0.035,0.129,0.000,0.000
Purple,82.590,83.994,93.078,8.201
Orange,17.375,15.877,6.922,91.799
