,Peak 1,Peak 2,Peak 3,Peak 4
Blue,45.129,1.798,0.000,0.000
Green,3.669,30.750,0.000,0.000
Purple,44.217,60.482,98.378,7.980
Orange,6.986,6.970,1.622,92.020
