,Peak 1,Peak 2,Peak 3,Peak 4
Blue,0.000,0.000,0.000,0.000
Green,0.001,0.236,0.000,0.000
Purple,82.381,83.530,94.270,8.004
Orange,17.618,16.234,5.730,91.996
