,Peak 1,Peak 2,Peak 3,Peak 4
Blue,0.000,0.000,0.000,0.000
Green,0.012,0.179,0.000,0.000
Purple,82.547,83.854,93.751,8.078
Orange,17.440,15.968,6.249,91.922
