,Peak 1,Peak 2,Peak 3,Peak 4
Blue,70.997,2.455,0.000,0.000
Green,1.346,52.827,0.000,0.000
Purple,23.934,41.139,99.461,6.103
Orange,3.724,3.579,0.538,93.897
