,Peak 1,Peak 2,Peak 3,Peak 4
Blue,23.848,5.754,0.000,0.000
Green,3.153,9.928,0.000,0.000
Purple,57.302,67.927,93.482,8.431
Orange,15.697,16.391,6.518,91.569
