,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.145,1.306,0.265,0.355,0.196,0.105
Continuum_2,0.129,0.777,0.268,0.462,0.195,0.114
Continuum_3,0.153,1.931,0.221,0.292,0.194,0.085
