,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,1.511,24.811,6.382,9.513,3.147,0.529
Continuum_2,1.310,25.039,6.002,10.159,3.590,0.568
Continuum_3,1.026,19.981,5.534,10.156,3.669,0.495
