,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,10.403,19.000,24.070,26.766,16.017,5.057
Continuum_2,10.164,32.218,22.388,22.012,18.403,4.995
Continuum_3,6.710,10.347,24.999,34.761,18.867,5.853
