,SNR,Signal,Noise
Component_1,73.003,45.204,0.619
Component_2,1.082,8.924,8.249
Component_3,31.788,78.550,2.471
Component_4,19.478,87.154,4.474
Component_5,55.462,81.883,1.476
Component_6,23.494,8.682,0.370
