Name,Flux,Error_flux
Hgamma,2.434703829738367,0.49216564207378655
Hbeta,6.225418647130969,0.567496014356424
Halpha,25.29014120128391,0.6197991927675945
[SII]6716,3.85237281755262,0.20594368814621494
[SII]6731,2.760484749403198,0.16049950524003512
HeII4687,0.05011456305904775,0.023731242486171072
HeI5876,0.8477035963709588,0.09720893246508042
[OIII]4959,1.826692313591053,0.5126927400341441
[OIII]5007,5.480076940773159,0.5126927400341441
[OI]6300,0.4382386510594822,0.02002725051470149
[OI]6364,0.14607955035316073,0.02002725051470149
[NII]6548,1.9901105910881147,0.2968705324930305
[NII]6583,5.970331773264344,0.2968705324930305
