Name,Flux,Error flux
Hgamma,2.0911979484294596,0.10144229677896999
Hbeta,5.358936820939345,0.25509578878193406
Halpha,23.72680732724627,0.30515453769717227
[SII]6716,4.494274646915271,0.07994566513331955
[SII]6731,3.482812525331355,0.10604816502413372
HeII4687,0.07479587464032557,0.020361614788247374
HeI5876,0.6908366856580849,0.03307462692474993
[OIII]5007_d,1.9881077257194035,0.16306268096946422
[OI]6300_d,0.8931476523223181,0.04439671391163443
[NII]6583_d,13.333779519411848,0.2199963534119668
