L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.44e+41,2.05e+40,1.75e+42,5.17e+41,2.71e+43,8.01e+42
1.39e+40,8.23e+39,1.6e+41,1.12e+41,nan,nan
2.52e+40,1.21e+40,2.94e+41,1.72e+41,nan,nan
7.64e+40,1.8e+40,9.14e+41,3.35e+41,1.41e+43,5.17e+42
2.12e+40,5.2e+39,2.47e+41,1.02e+41,nan,nan
