L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.16e+41,1.94e+40,1.4e+42,4.4e+41,2.17e+43,6.81e+42
8.19e+39,4.88e+39,9.37e+40,6.66e+40,1.44e+42,1.02e+42
1.14e+40,5.56e+39,1.31e+41,8.01e+40,2.02e+42,1.23e+42
4.9e+40,1.14e+40,5.81e+41,2.19e+41,8.94e+42,3.37e+42
1.03e+40,2.59e+39,1.19e+41,5.23e+40,1.82e+42,8.02e+41
