,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.209,0.217,0.254,0.096
Continuum_2,0.196,0.210,0.246,0.104
Continuum_3,0.168,0.181,0.215,0.090
