,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.037,0.033,0.035,0.022
Continuum_2,0.020,0.020,0.021,0.015
Continuum_3,0.017,0.018,0.019,0.012
