,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8
I_e,0.4673,0.2386,0.0695,0.9256,0.2507,0.0133,0.0553,0.0963
r_e,2.9550,4.2322,8.0123,1.7194,2.7678,99.9954,1.4581,8.9946
n,2.4318,1.5825,2.5367,0.4863,0.8109,2.2913,0.6342,0.3863
x_0,28.8162,57.0748,77.3743,82.9394,14.1695,72.0653,49.8815,17.9352
