,Component 1,Component 2,Component 3,Component 4
I_e error,0.3319,0.1355,0.1414,1.5952
r_e error,91.4519,480.7786,34.0415,2.0227
n error,11.9919,13.3752,1.4676,2.8666
x_0 error,0.0003,0.2005,0.5952,0.3908
