,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8
I_e error,0.7601,0.2059,0.2568,0.3408,0.1688,0.0483,0.3070,0.0403
r_e error,3.6279,2.7019,22.7020,0.2806,1.6715,260.9528,3.1073,8.3940
n error,2.1028,0.6561,2.8554,0.3145,0.5428,2.5842,4.7933,0.3484
x_0 error,0.0125,0.0708,0.1280,0.1364,0.1710,0.5059,0.7154,15.1174
