,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.4368,0.0812,0.3467,0.9452,0.1134,1.9034,0.0780
r_e,3.3959,11.0631,5.1313,1.3716,7.8341,0.0229,24.3189
n,2.3987,2.2946,1.0617,0.4719,1.4055,1.6442,0.4694
x_0,28.7915,57.0878,77.3630,83.1938,14.3670,69.7874,77.9387
