,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.5020,0.1599,0.2429,0.7274,0.1431,0.0163
r_e,3.0457,5.7835,2.9773,1.9404,6.1382,86.3786
n,2.3079,1.8549,1.6027,0.6977,1.2380,2.2389
x_0,28.8157,57.0382,77.3692,82.9248,14.3837,72.3364
