,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,4.9525,0.6246,0.2501,0.2632,0.0133
r_e,0.0583,3.9342,24.8487,1.4425,13.0356
n,1.6105,0.4831,0.8914,1.1111,3.1519
x_0,34.3023,51.2073,56.0189,66.4699,79.3576
