,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.7432,0.6575,0.1985,0.0862,0.0283
r_e,2.0505,2.6380,22.7005,4.0261,11.5774
n,0.2573,0.2622,1.2297,3.0648,3.0921
x_0,35.4276,51.4840,57.6809,68.1043,80.9947
