,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.4945,0.5343,0.1434,0.0996,0.0218
r_e,2.1617,2.7804,25.6232,2.1429,20.0921
n,0.5971,0.4744,1.3095,2.8704,3.6400
x_0,35.4185,51.4765,57.7692,67.9831,80.9939
