,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.9661,0.9992,0.9994,0.9078,0.3601
r_e,2.3943,31.6629,15.7441,2.8632,14.2648
n,1.3869,2.1576,1.5063,1.4764,1.5476
x_0,33.9612,51.0930,57.0001,67.0252,79.3029
