,Peak 1,Peak 2,Peak 3,Peak 4
Blue,81.412,42.309,2.793,2.779
Green,16.369,50.127,1.829,0.565
Purple,1.873,6.421,90.496,28.666
Orange,0.346,1.144,4.882,67.991
