,Peak 1,Peak 2,Peak 3,Peak 4
Blue,92.717,57.951,4.263,6.768
Green,5.760,31.223,0.047,0.000
Purple,1.084,7.962,90.483,26.643
Orange,0.439,2.864,5.206,66.589
