,Peak 1,Peak 2,Peak 3,Peak 4
Blue,95.095,48.466,2.033,1.280
Green,3.953,47.764,1.777,1.597
Purple,0.516,2.360,91.368,19.516
Orange,0.436,1.411,4.822,77.606
