,Peak 1,Peak 2,Peak 3,Peak 4
Blue,87.473,38.864,1.979,2.268
Green,8.611,50.612,1.521,1.152
Purple,3.072,8.467,92.303,32.664
Orange,0.844,2.057,4.198,63.915
