,Peak 1,Peak 2,Peak 3,Peak 4
Blue,80.660,39.716,1.886,1.981
Green,14.332,48.555,3.590,4.833
Purple,3.338,8.416,89.654,28.212
Orange,1.670,3.313,4.869,64.975
