,Peak 1,Peak 2,Peak 3,Peak 4
Blue,88.596,34.922,1.656,2.233
Green,7.772,55.064,1.261,1.145
Purple,2.848,8.047,93.556,32.238
Orange,0.784,1.968,3.527,64.384
