,Peak 1,Peak 2,Peak 3,Peak 4
Blue,81.848,36.843,1.583,1.921
Green,13.413,51.812,3.024,4.657
Purple,3.156,8.120,91.282,27.450
Orange,1.583,3.225,4.110,65.972
