,Peak 1,Peak 2,Peak 3,Peak 4
Blue,87.773,43.222,2.038,2.548
Green,10.597,51.462,1.280,0.519
Purple,1.376,4.494,93.122,26.131
Orange,0.254,0.821,3.560,70.802
