,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,1.027,1.181,2.184,4.764,12.936,12.229,4.412,2.213,1.317,1.060,0.038,-0.092,-0.096,0.192,0.194,0.289,0.763,5.511,12.801,3.719
Continuum_2,3.498,4.841,5.674,9.270,15.344,14.717,9.777,5.778,4.680,3.742,2.585,2.561,2.511,2.593,3.159,2.750,3.478,10.584,15.513,7.719
Continuum_3,4.666,6.894,7.820,13.444,25.553,28.059,13.998,8.533,6.695,4.531,3.030,2.839,2.917,3.219,3.489,3.733,5.024,15.385,27.642,11.906
