,Component 1,Component 2,Component 3,Component 4
I_e error,17.8714,0.9367,1.8742,0.4259
r_e error,195.9962,41.5021,0.4037,2.6529
n error,7.8603,5.6543,1.2083,0.0376
x_0 error,4178.5776,0.0008,0.2753,1.0126
