,Component 1,Component 2,Component 3,Component 4
I_e,0.2384,0.2095,1.3785,0.9481
r_e,88.8623,14.3719,1.6664,20.7695
n,0.9124,3.6562,0.2685,0.0721
x_0,-18.7049,59.6377,25.9367,35.8941
