,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.7930,1.3384,0.0034,3.4850,0.7029
r_e,10.4728,0.8116,2.3474,7.3631,2.5918
n,2.2457,1.8690,7.7020,1.4111,2.0618
x_0,30.3287,39.0032,42.9520,58.9845,64.1432
