,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.043,0.034,0.050,0.141,0.047
Continuum_2,0.046,0.037,0.058,0.182,0.055
Continuum_3,0.045,0.038,0.064,0.233,0.062
