Name,Flux,Error_flux
Hgamma,0.08517871883549395,0.018788598505018822
Hbeta,0.26337738063460114,0.030347953321957298
Halpha,2.646372790548471,0.08201058708775394
[SII]6716,0.481310564983113,0.01984163910936452
[SII]6731,0.35339981141072657,0.0086011708833072
HeII4687,0.0038458873609640122,0.005275012023400001
HeI5876,0.05087453791410525,0.008459353520163708
[OIII]4959,0.03701871980224245,0.007387640656942475
[OIII]5007,0.11105615940672736,0.007387640656942475
[OI]6300,0.07970389520314689,0.019575464149558377
[OI]6364,0.02656796506771563,0.019575464149558377
[NII]6548,0.30194064182409897,0.026502194454618513
[NII]6583,0.9058219254722969,0.026502194454618513
