,Component 1,Component 2,Component 3,Component 4
I_e,1.6539,0.1801,0.2334,0.0918
r_e,2.1946,8.7819,20.8014,4.1574
n,1.0050,1.8798,0.9210,0.9214
x_0,31.7713,36.8156,44.2152,59.6504
