,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,1.6631,0.0810,0.1814,0.0913,0.0155,0.0992
r_e,3.8463,6.6794,14.4480,3.9917,6.4478,29.2613
n,0.3412,3.5156,0.9120,0.9831,0.1000,0.9387
x_0,34.3888,31.5394,45.0963,59.6417,41.3803,41.2173
