,Component 1,Component 2,Component 3,Component 4
I_e error,0.2191,0.0987,0.0599,0.0576
r_e error,0.1732,5.5562,1.0019,2.2775
n error,0.1137,0.3785,0.0802,0.4747
x_0 error,0.0353,0.0904,0.8270,0.2407
