,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.4838,2.4954,0.4414,0.1008,1.3976,0.5921
r_e error,0.7511,117.0490,31.8658,5.3673,250.4614,46.6794
n error,0.1852,46.9799,1.1312,0.8792,11.2032,1.5740
x_0 error,1.2933,0.0018,2.9442,0.4057,81.7392,15.1208
