,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.025,0.026,0.024,0.016,0.011
Continuum_2,0.022,0.026,0.020,0.012,0.008
Continuum_3,0.014,0.018,0.011,0.008,0.009
