,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,11.656,23.544,19.511,13.517
Continuum_2,14.657,22.187,19.001,14.122
Continuum_3,16.588,28.563,21.872,15.877
