,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.158,0.816,0.387,0.162
Continuum_2,0.201,0.797,0.341,0.144
Continuum_3,0.218,0.715,0.297,0.122
