,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.012,0.010,0.015,0.026,0.021
Continuum_2,0.008,0.006,0.011,0.023,0.016
Continuum_3,0.007,0.006,0.009,0.015,0.013
