,Component 1,Component 2,Component 3,Component 4
I_e,0.1000,0.0998,0.0274,0.0469
r_e,16.1632,12.6767,26.4415,17.1808
n,2.5521,1.4431,3.4055,1.2535
x_0,35.8788,40.9399,59.3653,71.8907
