,Component 1,Component 2,Component 3,Component 4
I_e,0.0966,0.0996,0.0233,0.0478
r_e,22.0959,8.9363,33.5230,26.6420
n,2.7930,0.9946,3.5410,1.2882
x_0,35.9312,40.9387,59.4891,72.3889
