,Component 1,Component 2,Component 3,Component 4
I_e,3.6527,5.0199,6.0813,5.2341
r_e,6.7462,4.5589,4.0336,6.4088
n,1.0362,0.1372,1.5318,0.1332
x_0,36.8325,49.3000,59.3594,70.0000
