,Component 1,Component 2,Component 3,Component 4
I_e,0.1000,0.0949,0.0214,0.0472
r_e,17.3431,11.7319,41.0537,23.1389
n,2.3028,1.5576,3.8892,1.3593
x_0,36.2827,42.3770,59.6624,72.1653
