Name,Flux,Error_flux
Hgamma,0.14913997885213512,0.038508517917639824
Hbeta,0.4503939956726575,0.04214119511149474
Halpha,1.5910032059238446,0.050698073404206144
[SII]6716,0.7735879989127051,0.03834076578071559
[SII]6731,0.38252585268148,0.046581302132024084
HeII4687,0.0,0.05096102651723413
HeI5876,0.04637528174511787,0.017192380519732972
[OIII]4959,0.13289291188205385,0.042318456639625475
[OIII]5007,0.3986787356461615,0.042318456639625475
[OI]6300,0.06632013251363877,0.022103590997161957
[OI]6364,0.02210671083787959,0.022103590997161957
[NII]6548,0.21206115357739996,0.054133167148843975
[NII]6583,0.6361834607321999,0.054133167148843975
