Line,Flux,Error flux
Hgamma,0.6138205126696418,0.05837948043880529
Hbeta,2.1850549348161907,0.11599961808731636
Halpha,9.800380746992667,0.11554508661049621
[SII]6716,1.6504419505554158,0.051470629590144694
[SII]6731,1.218481708121627,0.03525934113055705
HeII4687,0.05440222340667173,0.020605603706545968
HeI5876,0.29943668330650536,0.045549540111574645
[OIII]5007_d,1.01083086433983,0.06924202463733216
[OI]6300_d,0.2600484508050683,0.02327081974342721
[NII]6583_d,4.060569558184878,0.07401287924113453
