,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.124,0.423,0.319,0.232,0.116
Continuum_2,0.114,0.433,0.250,0.174,0.090
Continuum_3,0.095,0.409,0.190,0.126,0.066
