,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1729,0.7858,0.4281,1.0000,0.1385
r_e,49.9999,4.9995,4.9999,49.9999,49.9993
n,1.6556,0.1565,0.1437,1.9080,2.5656
x_0,15.7197,30.1480,37.7563,54.9252,86.9932
