,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1848,0.0270,0.0052,0.2148,0.0401
r_e,4.0381,48.0360,1.0338,15.0967,13.3531
n,0.3281,1.4194,5.0850,1.1702,1.2921
x_0,14.2530,31.8305,36.1688,55.1968,87.6153
