,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,1.218,0.878,1.080,1.798,1.408
Continuum_2,1.046,0.850,1.075,1.531,1.189
Continuum_3,0.920,0.816,1.055,1.355,1.032
